peak_idx,peak_time,amplitude,prominence,width_half_prom,pulse_area,rise_time,decay_time,max_upslope,max_inflection,ibi_prev,ibi_next,ibi_ratio,local_variance,snr,freq_energy,wavelet_coef,label
829,18422,1212.9526092853075,2388.0103991297137,20.4309543528326,56837.38542763307,233.0,458.0,434.72075772563437,121.19342466992612,546.0,731.0,1.3388278388278387,757569.987213327,-58.72474553314507,5547808070.790926,5.358790554198904,0.0
861,19153,488.3877795750047,1162.4684758773485,20.038465366701416,44000.84850456266,189.0,439.0,325.07015512479865,115.93807927514786,731.0,209.0,0.2859097127222982,243980.46101792887,-53.77829737987574,4610457738.829797,5.3590263004035625,0.0
871,19362,391.24165409364446,155.49432586243347,4.534354906306135,42853.15671832197,398.0,293.0,50.40135214302751,41.60330299273312,209.0,481.0,2.3014354066985647,253274.76146581932,-53.840812952747385,3219682862.401338,8.44183848604597,0.0
893,19843,704.7515012905974,1466.8715904012297,17.375388304335274,26302.75576772818,188.0,460.0,256.18332787261807,82.4900501714684,481.0,774.0,1.6091476091476091,142177.63935766986,-51.51839802956602,2296123293.5710616,4.5380698342487555,1.0
927,20617,810.7838558966619,1768.180080506283,19.694598038801814,29872.536738118157,209.0,442.0,283.8939876385945,84.54636740553985,774.0,774.0,1.0,203795.70901862034,-53.08289809811944,2156948916.115322,4.316908026480838,1.0
962,21391,807.2650802680078,1631.5291201349633,18.68871347444508,31697.728704237394,209.0,419.0,296.2487833225828,91.13353170853884,774.0,754.0,0.9741602067183462,209230.56205335926,-53.178669944766305,2368251986.0635343,4.394817760462518,1.0
997,22145,768.9432400804018,1550.5770415759553,18.63220214527348,30229.804937015422,189.0,442.0,280.70013332599234,86.8361978003295,754.0,795.0,1.0543766578249336,189210.66392575687,-52.74862435366152,2436175169.4509106,4.582996439832199,1.0
1033,22940,800.3905157065636,1604.701653656281,19.396609386284126,31708.615085587644,188.0,442.0,282.7948645293447,83.48425281174491,795.0,795.0,1.0,221882.55599050914,-53.454704735808846,2825459491.710658,4.982169054931349,1.0
1069,23735,913.6249761050202,1855.3531214429852,19.18576689253132,37412.97233831743,207.0,439.0,326.7145331087283,93.4043401271224,795.0,816.0,1.0264150943396226,311418.2751621522,-54.921994309729094,3279114402.0002317,4.731712405803638,1.0
1106,24551,935.3255378121789,1900.7871724138074,19.567784488116104,36487.61703528259,207.0,439.0,336.33280612504893,99.05424341003447,816.0,816.0,1.0,303472.06602155074,-54.80184942651677,3409660808.7146635,5.269063266564747,1.0
1142,25367,843.0462890885657,1735.4866476841032,19.641299522133977,36147.97175500996,209.0,439.0,317.6338725131683,93.49729100815568,816.0,774.0,0.9485294117647058,262239.5882158421,-54.16868428848425,3125359310.020284,5.023084137229978,1.0
1178,26141,812.9292544393087,1687.7333022332264,19.39732203015683,33923.949294951264,188.0,461.0,300.72583748686736,90.50862709224339,774.0,816.0,1.054263565891473,236557.03028532953,-53.72172972974758,3038559805.710642,5.006629622059853,1.0
1215,26957,929.7850272054169,1861.4990700860985,17.089864978194328,33810.84011339997,188.0,481.0,319.9554123975694,94.33727789852071,816.0,842.0,1.0318627450980393,286695.17602620344,-54.528157395731924,3111336302.4606767,4.577835798354327,1.0
1248,27799,904.2032621588328,1860.7576588521829,18.31398274727303,36707.730138147046,277.0,434.0,348.7358885499257,108.40717439655816,842.0,790.0,0.9382422802850356,284827.47420300305,-54.51669470392954,3369183423.343512,5.7801416975333595,1.0
1283,28589,985.9585551122896,1964.0326733153504,18.125706181971736,36957.84498636178,209.0,457.0,367.3853572832081,120.65400968451729,790.0,185.0,0.23417721518987342,297375.31265697064,-54.69943344925219,3261159567.8545685,5.132654977462526,1.0
1292,28774,320.19617098348056,4.456228100456656,0.7381299486689841,34462.62782438898,394.0,377.0,77.91710248698485,111.47518839777001,185.0,589.0,3.1837837837837837,359460.55468893494,-55.4014423703235,3133291533.569072,5.6168230679666795,0.0
1318,29363,852.1297722415909,1731.3298153633193,17.792859850895866,32773.638771086626,212.0,457.0,302.24992932035866,88.79670503160924,589.0,753.0,1.2784380305602716,261618.42593815742,-54.10276219134526,3238606407.950095,4.57326454249601,1.0
1351,30116,887.7418132715828,1810.3000623505136,18.218311731986887,35700.273953042415,188.0,439.0,318.9306100495877,92.07989330617818,753.0,774.0,1.0278884462151394,280495.5650986846,-54.459998858131875,3250313123.9111257,4.86052840116357,1.0
1386,30890,894.982605620887,1782.3598574242988,18.654534160144976,37698.3420517388,209.0,439.0,334.7015736193471,99.49593245429901,774.0,774.0,1.0,293611.4387019303,-54.65232936276805,3229991042.0109344,4.8312156045454,1.0
1422,31664,855.1302745614976,1722.5602895624957,17.881132892783626,32530.56426292317,207.0,442.0,308.18617804678746,91.78148913717314,774.0,755.0,0.975452196382429,253821.75562193626,-53.981544882320605,3006303405.74972,4.2329618098688195,1.0
1455,32419,798.0734527202586,1659.295349193117,18.214581325092695,33038.51612309154,211.0,437.0,296.4152905589511,86.64814745121237,755.0,751.0,0.9947019867549669,228841.1438259731,-53.56571625319721,2838681468.0802126,4.906138437222097,1.0
1489,33170,836.3526068594844,1692.968853748073,18.040173255817763,33777.733736033944,208.0,439.0,315.2684637231892,96.5721044089803,751.0,776.0,1.033288948069241,252802.14995628086,-53.98666625525121,3036716434.9542603,4.759891984513524,1.0
1524,33946,1047.8845999190728,2174.7409883115006,16.626915521206,31061.48620817424,233.0,416.0,329.2600936873523,102.03175080457697,776.0,750.0,0.9664948453608248,312699.4351745855,-54.84728415740893,3072225829.828631,4.304120048546572,1.0
1559,34696,974.8755980330327,1586.0742644649472,11.335118241627924,24068.55904075208,313.0,442.0,255.74609460587465,83.97786572488837,750.0,254.0,0.33866666666666667,238472.46768396063,-53.76889594265314,3304318941.054139,4.963897964791962,1.0
1570,34950,58.27732847527332,1.6723915636588345,0.9450899465507518,36902.30659442163,437.0,356.0,1.6723915636588345,41.81893693650727,254.0,562.0,2.2125984251968505,290608.9225525309,-54.588692595442,3223423652.7102804,4.99222498249149,0.0
1596,35512,974.8923663295587,1940.9374037998923,18.67517514798351,37952.287963992065,206.0,460.0,353.27397510396713,105.32012939351648,562.0,774.0,1.3772241992882561,317046.0657907591,-55.00218184912662,3354107371.9439025,4.371061723445504,1.0
1630,36286,1000.375365456586,1969.1465490067728,16.045095754437398,39008.06718831492,209.0,441.0,366.75657899488874,108.74586667814799,774.0,732.0,0.9457364341085271,346385.4130081601,-55.29560055477509,3693574599.0675526,4.570280733618601,1.0
1663,37018,917.207260055419,1784.84978580493,15.934161435675378,31740.016099095454,209.0,460.0,310.1406380489375,88.2698415926144,732.0,753.0,1.028688524590164,304206.95322039945,-54.735489611473234,3472893280.1343484,4.93308356472597,1.0
1695,37771,843.2469705974968,1706.3994041807086,16.309272542642248,30502.69355500634,228.0,523.0,305.1965473627187,88.3725204798452,753.0,734.0,0.9747675962815405,268494.9646838491,-54.10443578734922,2749188854.776905,4.7774587571183025,1.0
1725,38505,698.624230733357,1388.8566419134286,16.751756885985742,28304.136739001096,190.0,437.0,264.55222090005725,83.4134136192447,734.0,711.0,0.9686648501362398,164251.31138234457,-52.07180724157807,2231332270.560713,4.6205076541597245,1.0
1757,39216,688.7068825669062,1354.3584618586415,14.959097595403364,24449.483852706715,191.0,500.0,247.9313943997397,75.58132838017434,711.0,709.0,0.9971870604781997,166060.73623673234,-52.041851905103506,1984356028.0194473,3.8242518042300824,1.0
1787,39925,726.5925199242959,1487.8268016272382,16.058453542930692,27190.660749369574,188.0,502.0,251.562944185672,74.97517351215424,709.0,734.0,1.0352609308885754,188159.63453226542,-52.60399439022546,2081469195.9118094,3.907926494769436,1.0
1818,40659,820.4865611868479,1614.3320342113598,16.058000955167927,29637.98945978249,212.0,457.0,274.6653029742636,77.61275187995443,734.0,735.0,1.0013623978201636,228556.9295177055,-53.525397655276095,2280900315.314333,3.9437802735482594,1.0
1850,41394,794.6420642450953,1584.062279049645,17.427027655613983,29628.728936669402,213.0,436.0,288.1701844218548,90.5027772392749,735.0,708.0,0.963265306122449,206789.7798332722,-53.093998108385364,2513946686.71947,4.450638018789551,1.0
1883,42102,804.6736258140984,1606.1709193945444,16.523468871184377,29629.8517932191,191.0,457.0,281.70220215689056,81.64188718190985,708.0,750.0,1.0593220338983051,237851.35056869555,-53.67836385206515,2923387061.2388644,3.988159157274281,1.0
1915,42852,1008.1742154659297,2055.7839854244194,17.190451285965537,36784.676041493105,230.0,460.0,343.1101626132327,99.7914540454866,750.0,753.0,1.004,326827.29206641053,-55.10348378274066,3159910032.311702,4.402531008432319,1.0
1949,43605,876.9002127989154,1693.6302324845274,18.156872855567144,34600.91585982407,209.0,420.0,309.31653538076813,88.8434962843337,753.0,752.0,0.99867197875166,271452.1478571353,-54.29885066693287,3285480991.7560267,4.694234375009235,1.0
